1418.800000,0.008016,0.003682,2.176942
1418.801172,0.008006,0.003678,2.176441
1418.802344,0.007993,0.003678,2.173331
1418.803516,0.007982,0.003678,2.169994
1418.804688,0.007993,0.003671,2.177055
1418.805859,0.008004,0.003663,2.185211
1418.807031,0.008001,0.003661,2.185328
1418.808203,0.007981,0.003652,2.185145
1418.809375,0.007988,0.003648,2.189319
1418.810547,0.008002,0.003642,2.197314
1418.811719,0.007993,0.003638,2.197169
1418.812891,0.007984,0.003631,2.198524
1418.814062,0.007990,0.003619,2.207940
1418.815234,0.007988,0.003604,2.216184
1418.816406,0.007981,0.003604,2.214517
1418.817578,0.007977,0.003613,2.207939
1418.818750,0.007972,0.003606,2.210614
1418.819922,0.007974,0.003597,2.216469
1418.821094,0.007968,0.003599,2.214112
1418.822266,0.007983,0.003595,2.220233
1418.823437,0.007982,0.003595,2.220158
1418.824609,0.007971,0.003593,2.218737
1418.825781,0.007983,0.003578,2.231226
1418.826953,0.007989,0.003573,2.236339
1418.828125,0.007978,0.003578,2.229661
1418.829297,0.007981,0.003589,2.223966
1418.830469,0.007966,0.003582,2.223810
1418.831641,0.007965,0.003578,2.226070
1418.832813,0.007982,0.003581,2.228811
1418.833984,0.007984,0.003580,2.230418
1418.835156,0.007987,0.003578,2.232195
1418.836328,0.008000,0.003575,2.237777
1418.837500,0.007993,0.003566,2.241426
1418.838672,0.007975,0.003564,2.237412
1418.839844,0.007969,0.003564,2.235807
1418.841016,0.007987,0.003560,2.243495
1418.842187,0.007987,0.003560,2.243719
1418.843359,0.007979,0.003561,2.241073
1418.844531,0.007993,0.003559,2.245809
1418.845703,0.008004,0.003559,2.248849
1418.846875,0.008000,0.003569,2.241755
1418.848047,0.008002,0.003573,2.239652
1418.849219,0.008010,0.003563,2.248306
1418.850391,0.008008,0.003552,2.254185
1418.851562,0.008018,0.003558,2.253808
1418.852734,0.008040,0.003569,2.252840
1418.853906,0.008041,0.003573,2.250631
1418.855078,0.008029,0.003572,2.247581
1418.856250,0.008037,0.003565,2.254521
1418.857422,0.008037,0.003566,2.253819
1418.858594,0.008036,0.003573,2.249030
1418.859766,0.008037,0.003578,2.246303
1418.860937,0.008048,0.003583,2.246334
1418.862109,0.008074,0.003586,2.251596
1418.863281,0.008084,0.003592,2.250574
1418.864453,0.008080,0.003593,2.248907
1418.865625,0.008078,0.003592,2.249125
1418.866797,0.008092,0.003602,2.246472
1418.867969,0.008100,0.003608,2.244835
1418.869141,0.008104,0.003616,2.241512
1418.870312,0.008116,0.003617,2.243774
1418.871484,0.008122,0.003623,2.241554
1418.872656,0.008127,0.003631,2.238473
1418.873828,0.008147,0.003635,2.241457
1418.875000,0.008166,0.003647,2.239399
1418.876172,0.008170,0.003664,2.229597
1418.877344,0.008172,0.003661,2.232346
1418.878516,0.008190,0.003654,2.241260
1418.879688,0.008204,0.003665,2.238204
1418.880859,0.008213,0.003681,2.231105
1418.882031,0.008234,0.003695,2.228404
1418.883203,0.008264,0.003710,2.227522
1418.884375,0.008261,0.003718,2.222031
1418.885547,0.008254,0.003722,2.217650
1418.886719,0.008268,0.003730,2.216802
1418.887891,0.008293,0.003738,2.218406
1418.889062,0.008319,0.003743,2.222830
1418.890234,0.008330,0.003758,2.216461
1418.891406,0.008334,0.003781,2.204085
1418.892578,0.008358,0.003796,2.201764
1418.893750,0.008369,0.003800,2.202408
1418.894922,0.008377,0.003810,2.198886
1418.896094,0.008399,0.003830,2.193087
1418.897266,0.008416,0.003852,2.184872
1418.898438,0.008427,0.003863,2.181657
1418.899609,0.008454,0.003871,2.183668
1418.900781,0.008494,0.003886,2.185972
1418.901953,0.008525,0.003901,2.185365
1418.903125,0.008544,0.003912,2.183870
1418.904297,0.008557,0.003929,2.178190
1418.905469,0.008572,0.003950,2.170096
1418.906641,0.008590,0.003965,2.166433
1418.907812,0.008612,0.003979,2.164680
1418.908984,0.008625,0.003993,2.159857
1418.910156,0.008650,0.004010,2.157067
1418.911328,0.008675,0.004029,2.153054
1418.912500,0.008696,0.004041,2.151789
1418.913672,0.008726,0.004051,2.154269
1418.914844,0.008748,0.004070,2.149079
1418.916016,0.008772,0.004092,2.143862
1418.917187,0.008801,0.004115,2.138912
1418.918359,0.008817,0.004138,2.130789
1418.919531,0.008833,0.004155,2.125801
1418.920703,0.008864,0.004176,2.122737
1418.921875,0.008897,0.004197,2.120153
1418.923047,0.008920,0.004212,2.117652
1418.924219,0.008949,0.004224,2.118893
1418.925391,0.008981,0.004244,2.116161
1418.926563,0.009003,0.004276,2.105338
1418.927734,0.009038,0.004307,2.098275
1418.928906,0.009075,0.004334,2.093758
1418.930078,0.009114,0.004362,2.089651
1418.931250,0.009151,0.004374,2.092410
1418.932422,0.009178,0.004384,2.093581
1418.933594,0.009206,0.004408,2.088341
1418.934766,0.009239,0.004429,2.085777
1418.935937,0.009258,0.004451,2.080117
1418.937109,0.009272,0.004477,2.071238
1418.938281,0.009297,0.004499,2.066400
1418.939453,0.009365,0.004519,2.072477
