0.000000,0.013776
0.436907,0.013782
0.873813,0.013747
1.310720,0.013782
1.747627,0.013737
2.184533,0.013784
2.621440,0.013733
3.058347,0.013716
3.495253,0.013777
3.932160,0.013789
4.369067,0.013745
4.805973,0.013754
5.242880,0.013785
5.679787,0.013781
6.116693,0.013750
6.553600,0.013738
6.990507,0.013743
7.427413,0.013734
7.864320,0.013741
8.301227,0.013736
8.738133,0.013746
9.175040,0.013731
9.611947,0.013736
10.048853,0.013757
10.485760,0.013738
10.922667,0.013728
11.359573,0.013780
11.796480,0.013771
12.233387,0.013758
12.670293,0.013761
13.107200,0.013747
13.544107,0.013734
13.981013,0.013684
14.417920,0.013734
14.854827,0.013712
15.291733,0.013746
15.728640,0.013726
16.165547,0.013725
16.602453,0.013735
17.039360,0.013776
17.476267,0.013760
17.913173,0.013754
18.350080,0.013741
18.786987,0.013789
19.223893,0.013732
19.660800,0.013731
20.097707,0.013732
20.534613,0.013749
20.971520,0.013706
21.408427,0.013716
21.845333,0.013774
22.282240,0.013734
22.719147,0.013742
23.156053,0.013738
23.592960,0.013775
24.029867,0.013765
24.466773,0.013745
24.903680,0.013694
25.340587,0.013720
25.777493,0.013744
26.214400,0.013712
26.651307,0.013731
27.088213,0.013738
27.525120,0.013739
27.962027,0.013749
28.398933,0.013722
28.835840,0.013762
29.272747,0.013679
29.709653,0.013780
30.146560,0.013724
30.583467,0.013769
31.020373,0.013712
31.457280,0.013761
31.894187,0.013728
32.331093,0.013756
32.768000,0.013775
33.204907,0.013757
33.641813,0.013733
34.078720,0.013693
34.515627,0.013702
34.952533,0.013740
35.389440,0.013714
35.826347,0.013758
36.263253,0.013769
36.700160,0.013749
37.137067,0.013725
37.573973,0.013728
38.010880,0.013690
38.447787,0.013716
38.884693,0.013735
39.321600,0.013725
39.758507,0.013720
40.195413,0.013788
40.632320,0.013722
41.069227,0.013748
41.506133,0.013697
41.943040,0.013724
42.379947,0.013704
42.816853,0.013708
43.253760,0.013706
43.690667,0.013731
44.127573,0.013716
44.564480,0.013722
45.001387,0.013715
45.438293,0.013735
45.875200,0.013759
46.312107,0.013763
46.749013,0.013733
47.185920,0.013724
47.622827,0.013701
48.059733,0.013732
48.496640,0.013716
48.933547,0.013703
49.370453,0.013686
49.807360,0.013744
50.244267,0.013662
50.681173,0.013703
51.118080,0.013706
51.554987,0.013719
51.991893,0.013721
52.428800,0.013698
52.865707,0.013680
53.302613,0.013715
53.739520,0.013732
54.176427,0.013698
54.613333,0.013680
55.050240,0.013711
55.487147,0.013775
55.924053,0.013720
56.360960,0.013714
56.797867,0.013738
57.234773,0.013718
57.671680,0.013746
58.108587,0.013723
58.545493,0.013725
58.982400,0.013713
59.419307,0.013755
59.856213,0.013753
60.293120,0.013696
60.730027,0.013719
61.166933,0.013708
61.603840,0.013702
62.040747,0.013688
62.477653,0.013743
62.914560,0.013719
63.351467,0.013725
63.788373,0.013718
64.225280,0.013696
64.662187,0.013706
65.099093,0.013718
65.536000,0.013708
65.972907,0.013696
66.409813,0.013728
66.846720,0.013716
67.283627,0.013704
67.720533,0.013697
68.157440,0.013680
68.594347,0.013721
69.031253,0.013721
69.468160,0.013725
69.905067,0.013709
70.341973,0.013698
70.778880,0.013682
71.215787,0.013710
71.652693,0.013736
72.089600,0.013691
